rank,name,position,points,picked
163,Terry McLaurin,WR,100.3,0
164,Eric Ebron,TE,97.2,0
165,Greg Olsen,TE,111.9,0
166,Kyle Rudolph,TE,105.2,0
167,Jameis Winston,QB,272.7,0
168,Philip Rivers,QB,267.9,0
169,Kirk Cousins,QB,263.4,0
170,Jaylen Samuels,RB,89.6,0
171,Tony Pollard,RB,53.9,0
172,Chris Thompson,RB,93,0
173,Justice Hill,RB,45.9,0
174,Justin Jackson,RB,49.5,0
175,Cole Beasley,WR,114.3,0
176,DeVante Parker,WR,106,0
177,Devin Funchess,WR,99.4,0
178,Deebo Samuel,WR,85.9,0
179,Chris Conley,WR,101.7,0
180,Mecole Hardman,WR,84.3,0
181,Ted Ginn Jr.,WR,107.9,0
182,Derek Carr,QB,243.1,0
183,Jimmy Graham,TE,102.3,0
184,Frank Gore,RB,100.2,0
185,Ty Montgomery,RB,74,0
186,Kareem HuntSSPD,RB,85.7,0
187,Dare Ogunbowale,RB,80.4,0
188,Darwin Thompson,RB,44.6,0
189,Broncos D/ST,D/ST,86.5,0
190,Colts D/ST,D/ST,93.1,0
191,Matt Prater,K,126.9,0
192,Jake Elliott,K,132.7,0
193,Darren Waller,TE,97,0
194,Ryquell Armstead,RB,74.5,0
195,Carlos Hyde,RB,86.7,0
196,Trey QuinnQ,WR,105.3,0
197,Taylor Gabriel,WR,94.4,0
198,Kenny StillsQ,WR,71.3,0
199,Damien Harris,RB,62.2,0
200,Jamaal Williams,RB,92.3,0
